id,Name,titleProject_id,class,score,login,password
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,u7ktrlza
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,rx5C2TcE
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,TjhNzRZj
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,18ohJxg6
67,Остюков Артур Романович,329,11и,3,Остюков_АР,KYF0zpLC
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,OTvs6dRs
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,XaFUBslD
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,yY8Y7Z2T
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,nQyu8GAk
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,rWRNUP1Q
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,kqpxKXHp
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,VpGtpOJ1
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,UPMAIoTi
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,O8oDoVvS
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,0VKFlJhW
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,9pPNO8I4
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,xAjk2dPG
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,RsFpr2DS
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,RmDBC9Xy
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,u6FGB7bc
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,LOL3CJw6
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,IAwExPMf
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,yOLAyp6v
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,07OOD4th
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,McN6jNWj
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,8KVnvg1E
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,4QlSdchd
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,ZkDrwGZb
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,6zUXXU77
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,0MjYezdt
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,mraYU5Pl
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,GV8yQgu3
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,ySeyCE01
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,n4g3Cmhw
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,EPDKD1WQ
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,NUbee6A8
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,iS7hpAhH
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,oO2bE60u
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,2XaLvDDz
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,BlHTdZX7
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,6Y8Tk5Yl
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,4S2olG5M
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,67buJ7KL
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,u97vgqnH
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,6aVDmUIf
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,AZ3S8tdp
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,JiAQsKgm
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,hWqvRr2M
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,ehi1Imez
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,mf8a0D9m
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,ITRMzML9
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,3CoigUBF
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,5GA1CxOW
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,69QB711R
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,LHZ0XcD3
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,1ux01db9
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,m83z6I4t
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,MWI0UM6d
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,xHUAZ5o8
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,bWyOgx6J
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,63kDEVdC
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,6S3TfATj
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,xIYs1UKf
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,MZ4YNDPa
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,Nr5vut6L
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,oNaeRu6t
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,f2y5VhLt
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,rAVYQ225
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,R5NxfYi7
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,J90cpiSL
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,7szoaLNo
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,Q952JQe5
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,BWfqi3uD
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,YnsN6pCW
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,ylVP6p1Y
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,QzYGbuzD
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,nERfkDiU
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,mGDv4ymt
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,InW7AYMQ
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,uaC0iFPx
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,zChzeMZt
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,euhhavyA
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,W64vVpvO
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,LTmcFZGR
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,g4BgwpOo
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,AQ9WseFm
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,9qwqaSnQ
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,WvYG4n4m
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,ABOiadVT
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,4VK6gEVF
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,FWLHupJq
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,yjaQrfJ9
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,A2wk16Sq
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,XexmUALl
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,4vnMbJZE
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,Dp5hpnOI
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,TzDey93I
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,cEbwkQAh
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,T7ECJRFF
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,L1ld8HOY
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,LWXSGSqg
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,FojLkajH
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,zTnWPVWn
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,EhGyEdnP
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,ZsEkVsPC
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,46Papl6P
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,fLca7NDO
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,Bw8Bp275
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,Ns871q6r
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,oGB85bUS
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,WykdnMed
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,G6iRTlQC
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,HpD99DlI
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,j6sTeLzY
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,U8FsfrWq
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,DmhBdQUr
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,c7NxyyhC
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,hB6h6ZIJ
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,bQMBYdv5
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,F3CA0847
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,ITNdWx9H
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,9PxUaHeo
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,FaVq9yK6
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,zqRNL5JU
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,oamhh33u
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,Wspi383X
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,XnQDL0bP
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,QFTYE6QM
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,wfrOs8NJ
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,YLbCMGEq
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,BhKLuaig
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,5o5jUHGH
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,pcci410E
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,Ze179WIA
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,517pplcc
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,9xsNd3qX
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,xrQkEv4W
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,uwL41lEB
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,g7HEC2qo
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,rI0dXeCm
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,RCu98lEz
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,B2tD1V06
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,qq71hWBV
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,0jBD69VG
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,C9j8TAFR
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,bvQHMz40
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,cJR5dp2y
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,kW7RrBDj
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,rmNYKqEL
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,ZXSL58M1
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,28eiALP5
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,uZpFae9Z
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,T0zmo5VY
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,46pcadgC
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,DbIBORqF
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,GuMYS1mj
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,kDDuHzhw
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,dSQ6J6M7
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,Zp6ND2Mi
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,6xbPYdLb
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,gtmIjtme
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,ub58KhW0
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,LhShxHdN
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,4L0qXsac
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,wl7LaC5X
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,eyNsxxW6
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,GRBuX3sP
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,ZmXXTDxD
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,4vPn0PRD
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,QWI4NeVp
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,fM0f1hIa
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,YSY3kwpf
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,bXxcAjq6
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,kfCup9d9
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,tquqIN18
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,c7kP0WwD
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,89fVgVYD
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,6aGU6JAW
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,HjnXTvyP
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,nb67meIc
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,1UufIDPY
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,5vvEccD3
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,U1iWbsus
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,MwW7Ub0B
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,LzL3NERA
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,IdrrLYRX
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,LwvbIAyh
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,FISdkPFy
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,W7sOif7t
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,8dZeIM80
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,rcPNmgyp
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,gUvigNMs
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,vTFHUPiq
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,E24CPHAF
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,rTt0PHqm
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,ZezZtAZa
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,VnQwk2H1
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,pmcxuMLg
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,iIqnWUjt
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,00FsdYOD
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,6d5LkFKw
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,CIOep8R1
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,MWK7ikoZ
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,KETvU4OC
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,D9DCYH2N
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,9hIDs9a3
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,l8FkEtYc
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,Jl7plugp
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,DdQ2QMyO
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,caVzoier
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,nUrNrmwc
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,SLfY2hrf
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,NAncB9n7
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,bQHP86Wc
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,22t5yMS0
278,Углова Галина Романовна,260,9г,3,Углова_ГР,T15AW7ZF
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,3fT4IbYz
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,DDwnVlJX
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,Qb2hA77i
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,BVdMRn1h
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,9buqOzzo
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,LTsvTosL
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,x2CgDxkV
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,0KtopDhU
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,ZCuV78M8
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,JoC6hyct
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,Ye6bz3Cy
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,S4wmF6J1
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,kleML8LE
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,fGokMz4I
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,ajVNn8oo
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,lXuJECbR
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,AmOWhzv4
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,RrnfJJyR
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,K9tbuska
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,o51T9y6l
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,pVfAvPov
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,F70h1qWX
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,V2dcaX67
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,4BuRmRvZ
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,7sF4k2mW
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,qwG3NcYT
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,HrL4JeBi
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,B6NWovG7
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,l9t1JFPu
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,lRl4Hiyu
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,RioJZxlu
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,RnTk3DNv
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,GdveXqOM
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,FeHZ8CC1
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,LQseb7FD
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,CHSB6jEk
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,TQBA0eBU
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,ekSiPXsW
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,TwxEAUf4
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,6kvrkx7S
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,yUvmCLXP
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,cUm7uwQ8
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,9NCHo4UB
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,daUUVRBm
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,ddrNsoWp
